Título,Artista,Tom_Original,BPM,CifraDriveID,CifraSimplificadaID
A Batucada te Pegou,Turma do Pagode,,,1EuG2V7aju14Y_4ltv6hPYK2Zs1aQp6US,
A Carta,Exaltasamba,,,1JCf0ArqJv9SeL8F5z0LkeIxqnnVPGNq3,
Aceita Paixão,Exaltassamba,C,110.0,1bKzZZwbmKJE6EZojG2EFl1SEzKYzOlEj,
Acordar Com Você (Vim Tentar te Dizer),Exaltasamba,,,1UdacwFs_8UgrVlvTJofvbtj56AQz18ig,
Agora viu que me Perdeu e Chora,Reinaldo,,,1l3eErDpICKsKg4Ydi0cOFCSbXZ5erhcz,
Agua de Chuva no Mar,Beth Carvalho,,,1BAuJzmYDNgmAyRrbF0KUwh4h4EeHD8gO,
Ainda e Tempo de Ser Feliz,Arlindo Cruz,,,1KcFgCCa9W9QfSfBp7RYVOejuutgyCfMG,
Amor,,,,,
Amor a Primeira Vista,Jorge Aragão,F#,90.0,,
Amor e Amizade,Exaltasamba,,,19NOp98E231K21X7pGeIuYedW1VqSyhRz,
Araketu Bom Demais,Araketu,,,1pWiG3AX9VjioXPw-4-CWY-SXnmG7TTSU,
Ate que Durou,Pericles,,,1EuG2V7aju14Y_4ltv6hPYK2Zs1aQp6US,
Baianidade Nago,,,,1SPzgH5GtnDOGtzIw1rPmnLGmjkOJgNdR,
Beijo Geladinho ,Negritude Jr,,,13Nr90uMklU3wEdS_BA8S23g3a4KI0nEL,
Bole bole,Exaltassamba ,,,1AQ3049lMMnKQN5k7ZHwa0Wm0UKAH4ZtQ,
Bombocado,Art Popular,,,1kRUQD-ygR1EBjSL7WVnU9LQSXkYR7xGZ,
Brilho de Cristal,Pixote,,,1cPUSYM4_0XdT0nowaA8WrKPhMMIC8pnT,
Brilho no Olhar,Reinaldo,,,1KCcK_gE2dM1RiiP24c57pimRoV7B87Ng,
Burguesinha,Seu Jorge,,,1YS9JpGTEKr9MfN9PZOcVrV40NZYUQyiI,
Careless Whisperer,George Michael,,,1lgPDc6GSJDXR1wiDBsXfHPHzjXrnew9r,
Cheia de Manias,Raca Negra,,,,
Cilada,Molejo,,,1yAI6JMGjux66H5d4txQlHvwa2-_Dn8qZ,
Cohab City,Negritude Jr,,,1rkHO8SWueloYXUPp4T0N6SLZilD3pxI2,
Coisa de Pele,Fundo de Quintal,,,1geqf7XtBrG5x69jVFsMTjBb0p1uaiWVA,
Compasso do Amor,Revelacao,,,19NOp98E231K21X7pGeIuYedW1VqSyhRz,
