BlockIndex,BlockName,ItemIndex,ItemType,SongTitle,Artist,Tom,BPM,CifraDriveID,CifraSimplificadaID,UseSimplificada,PauseLabel,Obs,Preparacao
1,Soud Check,1,music,Conselho,Fundo de Quintal,C,,1fnzQ-1L8ur2m94yUy9rTGk2IPUprzU4E,,0,,,
1,Soud Check,2,music,Insensato Destino,Fundo de Quintal,C,,10FF2Rmu0JRlSoF6vh2i4qZ9j9X2y8HRA,,0,,,
1,Soud Check,3,music,Coisa de Pele,Fundo de Quintal,C,,1geqf7XtBrG5x69jVFsMTjBb0p1uaiWVA,,0,,,
2,Bloco 1,1,music,Sera que e Amor,Arlindo Cruz,,,1gp1U0eL8-z4ZnIAfyHwg6vcd695T3oYT,,0,,,
2,Bloco 1,2,music,Agora viu que me Perdeu e Chora,Reinaldo,,,1l3eErDpICKsKg4Ydi0cOFCSbXZ5erhcz,,0,,,
2,Bloco 1,3,pause,,,,,,,,Pausa,,
2,Bloco 1,4,music,Retalhos de Cetim,Revelação,A,,,,0,,,
2,Bloco 1,5,music,Enredo do Meu Samba,,F,,1NJMktNbykDxZO4csNw3I8KjK7ETIs7NWcRLSrhF5ph0,,0,,,
2,Bloco 1,6,music,Não Deixa o Samba Morrer,Beth Carvalho,Bm,,,,0,,,
2,Bloco 1,7,music,Pe na Areia,Diogo Nogueira,,,1bJvQ_9tm5HbornKYCkabMM7S2JLLA6ZR,,0,,,
2,Bloco 1,8,music,Insegurança ,Pixote,,,17YfF2U7eVZkbX7CASl2lbj5zMeT3K4Fu,,0,,,
2,Bloco 1,9,music,Meu Jeito de Ser,Só Pra Contrariar,,,1mAbdVAlc5bFd8TzvdRQWUcOuDFhl8aGt,,0,,,
2,Bloco 1,10,music,Essa Tal Liberdade,Só Pra Contrariar,,,1kGxl6JRLXTl8YKTOw7av1wRqacX57P7O,,0,,,
2,Bloco 1,11,music,Me Apaixonei Pela Pessoa Errada,Exaltasamba,,,1jLU3BvHqsIPTJ4gKxAK4va5PYRQ5clhk,,0,,,
2,Bloco 1,12,music,Que se Chama Amor,Só Pra Contrariar,,,10S8kEdh19fFsIW3D-fkwVUSb-S9ufno1,,0,,,
2,Bloco 1,13,music,Tempo de Aprender,Belo,D,,1bwlHTciQDatHJTMj5lIHLCkhP1b9t3uM,1K8F8SnRmOvR34dr3toNqSbH18Ctr_fec,0,,,
2,Bloco 1,14,music,Telegrama,Exaltasamba,,,1O7dvjDlhm9QpArrTlFH1ntC6EPDb4Hej,,0,,,
2,Bloco 1,15,music,Tarde Demais (Voce Jogou Fora),Raca Negra,,,1sHYbjrB1_wmZxxezZ-NjXkyNhYLpr2pr,,0,,,
2,Bloco 1,16,music,Desliga e vem,Exaltasamba,,,1IsJLE3b4y8-P8y2wwOj5u1nM4lir6080,,0,,,
2,Bloco 1,17,music,Tô Te Filmando,Thiaguinho,,,19ApyEkFx7_azqt4D7qrbZf90EbqhhEYz,,0,,,
2,Bloco 1,18,music,Marrom Bombom,Os Morenos,A,,1mAbdVAlc5bFd8TzvdRQWUcOuDFhl8aGt,,0,,,
2,Bloco 1,19,music,Depois do Prazer,Só Pra Contrariar,A,,1F2PhdhVlUJeT8t2F0Iptr0xuEpBPe2Mh,,0,,,
2,Bloco 1,20,music,Eternamente Feliz,Art Popular,,,10nCeT_ug8H2saZ2hMCSkgUK9So9dDQvp,,0,,,
2,Bloco 1,21,music,Meu Amor,Pixote,C,,1kVzRpP3lkOW-Oc14WOeAWseQ9tzvmjCP,,0,,,
