BlockIndex,BlockName,ItemIndex,ItemType,SongTitle,Artist,Tom,BPM,CifraDriveID,CifraSimplificadaID,UseSimplificada,PauseLabel,Obs,Preparacao
1,Bloco 1,1,music,Conselho,Fundo de Quintal,G,,1fnzQ-1L8ur2m94yUy9rTGk2IPUprzU4E,,0,,,
1,Bloco 1,2,music,Insensato Destino,Fundo de Quintal,C,,10FF2Rmu0JRlSoF6vh2i4qZ9j9X2y8HRA,,0,,,
1,Bloco 1,3,music,Coisa de Pele,Fundo de Quintal,,,1geqf7XtBrG5x69jVFsMTjBb0p1uaiWVA,,0,,,
2,Bloco 2,1,music,Sera que e Amor,Arlindo Cruz,,,1gp1U0eL8-z4ZnIAfyHwg6vcd695T3oYT,,0,,,
2,Bloco 2,2,music,Agora viu que me Perdeu e Chora,Reinaldo,,,1l3eErDpICKsKg4Ydi0cOFCSbXZ5erhcz,,0,,,
2,Bloco 2,3,music,Enredo do Meu Samba,Fundo de Quintal,F,,1ey4g-kMv_Ezu3tDsRzp9S6bsB79M-749,,0,,,
2,Bloco 2,4,music,Enredo do Meu Samba,Fundo de Quintal,F,,1ey4g-kMv_Ezu3tDsRzp9S6bsB79M-749,,0,,,
3,Bloco 3,1,music,Acordar Com Você (Vim Tentar te Dizer),Exaltasamba,,,1UdacwFs_8UgrVlvTJofvbtj56AQz18ig,,0,,,
3,Bloco 3,2,music,Maravilha,Raça Negra,E,,1RNOwqtLL57bBFn_jYX3zvoxbyLrDiOhz,,0,,,
3,Bloco 3,3,music,Vida Cigana,Raça Negra,G,,1rliGgPk941paMoYDAcx3c-DxujrsC9Ig,,0,,,
3,Bloco 3,4,music,Deus Me Livre,Raça Negra,C,,1ht-HMK0vIOIdDRWxZfDtPpsTt62pQli8,,0,,,
